dataset,effect,power,n_needed_for_0.8
hotpotqa,0.01,0.871,80
hotpotqa,0.02,0.818,60
hotpotqa,0.03,0.869,80
hotpotqa,0.05,0.891,80
hotpotqa,0.08,0.806,60
hotpotqa,0.1,0.811,60
2wikimultihop,0.01,0.810,300
2wikimultihop,0.02,0.806,300
2wikimultihop,0.03,0.807,300
2wikimultihop,0.05,0.811,300
2wikimultihop,0.08,0.965,500
2wikimultihop,0.1,0.804,300
musique,0.01,0.886,100
musique,0.02,0.829,80
musique,0.03,0.828,80
musique,0.05,0.887,100
musique,0.08,0.843,80
musique,0.1,0.850,80
strategyqa,0.01,0.826,50
strategyqa,0.02,0.896,60
strategyqa,0.03,0.885,60
strategyqa,0.05,0.820,50
strategyqa,0.08,0.890,60
strategyqa,0.1,0.881,60
drop,0.01,0.889,500
drop,0.02,0.887,500
drop,0.03,0.875,500
drop,0.05,0.868,500
drop,0.08,0.709,500
drop,0.1,0.644,500
