dataset,arm,raw,plan_valid,depth_valid,metric_valid,analysis_final
hotpotqa,static,2863,2862,2862,2862,0
hotpotqa,flat,2863,2861,2861,2861,0
hotpotqa,chain,2863,2861,2861,2861,0
hotpotqa,THREE_ARM_PAIRED,0,0,0,0,0
2wikimultihop,static,4931,4930,4930,4930,0
2wikimultihop,flat,4931,4930,4930,4930,0
2wikimultihop,chain,4931,4931,4931,4931,0
2wikimultihop,THREE_ARM_PAIRED,0,0,0,0,0
musique,static,867,842,842,842,0
musique,flat,867,864,864,864,0
musique,chain,867,867,867,867,0
musique,THREE_ARM_PAIRED,0,0,0,0,0
hotpotqa,EXCLUDED:no_slots,1,0,0,0,0
hotpotqa,EXCLUDED:no_slots,1,0,0,0,0
hotpotqa,EXCLUDED:no_slots,1,0,0,0,0
hotpotqa,EXCLUDED:no_slots,1,0,0,0,0
hotpotqa,EXCLUDED:no_slots,1,0,0,0,0
2wikimultihop,EXCLUDED:no_slots,1,0,0,0,0
2wikimultihop,EXCLUDED:no_slots,1,0,0,0,0
musique,EXCLUDED:no_slots,1,0,0,0,0
musique,EXCLUDED:no_slots,1,0,0,0,0
musique,EXCLUDED:no_slots,1,0,0,0,0
musique,EXCLUDED:no_slots,1,0,0,0,0
musique,EXCLUDED:no_slots,1,0,0,0,0
musique,EXCLUDED:no_slots,1,0,0,0,0
musique,EXCLUDED:no_slots,1,0,0,0,0
musique,EXCLUDED:no_slots,1,0,0,0,0
musique,EXCLUDED:no_slots,1,0,0,0,0
musique,EXCLUDED:no_slots,1,0,0,0,0
musique,EXCLUDED:no_slots,1,0,0,0,0
musique,EXCLUDED:no_slots,1,0,0,0,0
musique,EXCLUDED:no_slots,1,0,0,0,0
musique,EXCLUDED:no_slots,1,0,0,0,0
musique,EXCLUDED:no_slots,1,0,0,0,0
musique,EXCLUDED:no_slots,1,0,0,0,0
musique,EXCLUDED:no_slots,1,0,0,0,0
musique,EXCLUDED:no_slots,1,0,0,0,0
musique,EXCLUDED:no_slots,1,0,0,0,0
musique,EXCLUDED:no_slots,1,0,0,0,0
musique,EXCLUDED:no_slots,1,0,0,0,0
musique,EXCLUDED:no_slots,1,0,0,0,0
musique,EXCLUDED:no_slots,1,0,0,0,0
musique,EXCLUDED:no_slots,1,0,0,0,0
musique,EXCLUDED:no_slots,1,0,0,0,0
musique,EXCLUDED:no_slots,1,0,0,0,0
musique,EXCLUDED:no_slots,1,0,0,0,0
musique,EXCLUDED:no_slots,1,0,0,0,0
