policy,dataset,scope,n,em,f1,retr_calls,llm_calls,budget_ex_rate
P0_static,hotpotqa,dataset,2862,0.5409,0.6846,2.004,25.33,0.0409
P0_static,2wikimultihop,dataset,4930,0.5172,0.6207,1.792,37.041,0.0535
P0_static,musique,dataset,842,0.272,0.393,1.609,18.711,0.0368
P0_static,pooled_micro,micro,8634,0.5012,0.6196,1.845,31.371,0.0477
P0_static,pooled_macro,macro,8634,0.4434,0.5661,1.802,27.027,0.0437
P0_static,LOSA_hotpot_hops4+,losa_micro,8602,0.503,0,0,0,0
P0_static,LOSA_hotpot_hops4+,losa_macro,8602,0.4454,0,0,0,0
P1_flat,hotpotqa,dataset,2861,0.554,0.699,1.904,24.524,0.05
P1_flat,2wikimultihop,dataset,4930,0.4822,0.608,1.808,34.068,0.0497
P1_flat,musique,dataset,864,0.2731,0.3969,1.543,6.793,0.0
P1_flat,pooled_micro,micro,8655,0.485,0.617,1.813,28.19,0.0448
P1_flat,pooled_macro,macro,8655,0.4364,0.568,1.751,21.795,0.0332
P2_chain,hotpotqa,dataset,2861,0.5425,0.6901,1.805,49.123,0.1125
P2_chain,2wikimultihop,dataset,4931,0.478,0.6057,1.802,14.21,0.0004
P2_chain,musique,dataset,867,0.2745,0.4013,1.472,5.543,0.0
P2_chain,pooled_micro,micro,8659,0.4789,0.6132,1.77,24.878,0.0374
P2_chain,pooled_macro,macro,8659,0.4317,0.5657,1.693,22.959,0.0377
P2_chain,LOSA_hotpot_hops4+,losa_micro,8627,0.4781,0,0,0,0
P2_chain,LOSA_hotpot_hops4+,losa_macro,8627,0.4311,0,0,0,0
A_depth_only,hotpotqa,dataset,2862,0.5538,0.7005,1.807,23.738,0.0514
A_depth_only,2wikimultihop,dataset,4930,0.5158,0.6197,1.776,36.452,0.0517
A_depth_only,musique,dataset,843,0.2752,0.3999,1.46,14.284,0.0012
A_depth_only,pooled_micro,micro,8635,0.5049,0.625,1.756,30.074,0.0467
A_depth_only,pooled_macro,macro,8635,0.4483,0.5734,1.681,24.825,0.0348
A_depth_only,LOSA_hotpot_hops4+,losa_micro,8603,0.5042,0,0,0,0
A_depth_only,LOSA_hotpot_hops4+,losa_macro,8603,0.4478,0,0,0,0
B_depth_x_topo,hotpotqa,dataset,2862,0.5419,0.6861,1.855,27.368,0.0584
B_depth_x_topo,2wikimultihop,dataset,4930,0.5158,0.6197,1.776,36.452,0.0517
B_depth_x_topo,musique,dataset,843,0.2752,0.3993,1.483,15.179,0.0083
B_depth_x_topo,pooled_micro,micro,8635,0.501,0.6202,1.774,31.364,0.0497
B_depth_x_topo,pooled_macro,macro,8635,0.4443,0.5683,1.705,26.333,0.0395
B_depth_x_topo,LOSA_hotpot_hops4+,losa_micro,8603,0.5025,0,0,0,0
B_depth_x_topo,LOSA_hotpot_hops4+,losa_macro,8603,0.446,0,0,0,0
C_depth_x_topo_tree,hotpotqa,dataset,2862,0.5538,0.7005,1.807,23.738,0.0514
C_depth_x_topo_tree,2wikimultihop,dataset,4930,0.5158,0.6197,1.776,36.452,0.0517
C_depth_x_topo_tree,musique,dataset,843,0.2752,0.4001,1.463,14.402,0.0012
C_depth_x_topo_tree,pooled_micro,micro,8635,0.5049,0.625,1.756,30.085,0.0467
C_depth_x_topo_tree,pooled_macro,macro,8635,0.4483,0.5734,1.682,24.864,0.0348
