dataset,arm,question_id,n_slots,n_joins,n_operator_edges,structural_hops,structural_nodes,trace_depth,branching_factor,topology_full,topology_join,operator_connects_components,max_join_degree,max_full_degree,em,f1,retrieval_calls,llm_calls,documents_accessed,latency_ms,budget_exceeded,status
2wikimultihop,chain,0008d48808a011ebbd78ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.0,1,10,5,46512.658998006955,0,ok
2wikimultihop,chain,001ad110086911ebbd5eac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,6,5,25779.00448598154,0,ok
2wikimultihop,chain,002f12240bde11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,0.0,0.0,3,16,15,80184.01041603833,0,ok
2wikimultihop,chain,003285a80bde11eba7f7acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.0,1,5,5,21308.702064905316,0,ok
2wikimultihop,chain,0056b9ff08e711ebbda5ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.6666666666666666,1,6,5,16063.912584014237,0,ok
2wikimultihop,chain,0063e31f08eb11ebbda7ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,7,5,23387.985141960904,0,ok
2wikimultihop,chain,006b525c08e111ebbda2ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,2,4,5314.796496037394,0,ok
2wikimultihop,chain,006d81bc0bde11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,0.0,0.0,4,53,20,199843.65571678616,0,ok
2wikimultihop,chain,007b76e80bdc11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,1.0,1.0,3,21,15,85703.22308810055,0,ok
2wikimultihop,chain,0098436208e011ebbda1ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,20,5,102605.75213414803,0,ok
2wikimultihop,chain,009d55460bdd11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,0.0,0.0,3,23,15,116685.09243083838,0,ok
2wikimultihop,chain,00a1b60e0bdd11eba7f7acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.6666666666666666,1,4,5,27861.27103699185,0,ok
2wikimultihop,chain,00a68bf208cc11ebbd93ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.0,1,4,5,16789.278661975637,0,ok
2wikimultihop,chain,00b92f9d089e11ebbd78ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,11,4,45312.858434889466,0,ok
2wikimultihop,chain,00c727580bde11eba7f7acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.0,1,7,5,43637.899712052196,0,ok
2wikimultihop,chain,00cf7a0c0bde11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,1.0,1.0,4,21,20,110097.82355505228,0,ok
2wikimultihop,chain,00de046a0bb011ebab90acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.0,1,13,5,60644.22845194023,0,ok
2wikimultihop,chain,00df236c0bde11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,0.0,0.0,3,26,15,122797.9175629653,0,ok
2wikimultihop,chain,00df5d8c0bde11eba7f7acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.0,1,4,5,17330.5723290015,0,ok
2wikimultihop,chain,00e418280bdd11eba7f7acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,1.0,1,7,4,32952.86943195388,0,ok
2wikimultihop,chain,00ea5297094a11ebbdaeac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,10,5,40632.40430890769,0,ok
2wikimultihop,chain,00ef78f80bdd11eba7f7acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.0,1,5,5,27529.66778303124,0,ok
2wikimultihop,chain,00f28a7e0bde11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,0.0,0.0,3,23,15,81704.18249982782,0,ok
2wikimultihop,chain,00fe8ebc08e311ebbda4ac1f6bf848b6,4,2,1,3,4,0,1.5,chain,join_disconnected,1,1,2,0.0,0.0,0,0,0,0.0,0,failed
2wikimultihop,chain,010bdf4408df11ebbd9fac1f6bf848b6,4,2,1,3,4,0,1.5,chain,join_disconnected,1,1,2,0.0,0.0,0,0,0,0.0,0,failed
2wikimultihop,chain,01245b60088411ebbd6dac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.3076923076923077,1,9,4,46903.68385604769,0,ok
2wikimultihop,chain,012e4cf00bdc11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,0.0,0.4444444444444445,3,20,14,102351.84557106905,0,ok
2wikimultihop,chain,01309e5008bd11ebbd89ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.4615384615384615,1,16,5,61520.05557599291,0,ok
2wikimultihop,chain,01588f7208be11ebbd8aac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,11,5,54463.01114605367,0,ok
2wikimultihop,chain,015d47a908a811ebbd7fac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.11764705882352941,1,12,5,117697.69845198281,0,ok
2wikimultihop,chain,0167e737086111ebbd5dac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,3,5,17641.21221299842,0,ok
2wikimultihop,chain,016c84f508ab11ebbd81ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,5,5,23964.78626301326,0,ok
2wikimultihop,chain,0179c3f20bdb11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,0.0,0.6666666666666666,3,25,13,109438.30867403932,0,ok
2wikimultihop,chain,017a4e840bdc11eba7f7acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.0,1,8,5,22504.73933196813,0,ok
2wikimultihop,chain,0188e46808e511ebbda4ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.0,1,12,5,48989.81892096531,0,ok
2wikimultihop,chain,0189caf20bdd11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,1.0,1.0,4,34,20,153075.31357499398,0,ok
2wikimultihop,chain,0193c144085211ebbd58ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.0,1,14,5,46569.60613706708,0,ok
2wikimultihop,chain,01a204d20bb011ebab90acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,9,5,37682.34782007523,0,ok
2wikimultihop,chain,01a2e4dc0bde11eba7f7acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.0,1,11,5,46212.982171995565,0,ok
2wikimultihop,chain,01a3f8600bdc11eba7f7acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.0,1,6,5,32622.131132047623,0,ok
2wikimultihop,chain,01ad79ba0bde11eba7f7acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.0,1,1,5,13689.336084993556,0,ok
2wikimultihop,chain,01b2d6ae0bdd11eba7f7acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.0,1,6,5,43088.944974929094,0,ok
2wikimultihop,chain,01b786e2086611ebbd5eac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.0,1,4,5,26909.73627409339,0,ok
2wikimultihop,chain,01d6d4400bde11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,0.0,0.0,3,10,15,59144.75500693172,0,ok
2wikimultihop,chain,01dc5ca0086c11ebbd60ac1f6bf848b6,1,0,0,0,1,1,0.0,single,single,0,0,0,1.0,1.0,1,4,5,21227.443083954975,0,ok
2wikimultihop,chain,01e2153c0bdc11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,0.0,0.6666666666666666,3,18,14,74598.1923259478,0,ok
2wikimultihop,chain,01eb3b100bde11eba7f7acde48001122,2,1,0,1,2,2,1.0,chain,chain,0,1,1,0.0,0.0,3,29,13,130268.82118698023,0,ok
2wikimultihop,chain,01f233340bde11eba7f7acde48001122,1,0,0,0,1,1,0.0,single,single,0,0,0,0.0,0.0,1,8,4,46323.65251809172,0,ok
