question_id,dataset,census_hops,n_slots,eligible_census,in_v12_frozen,v12_hops,v12_hash_match,exposed,primary_candidate,exclusion_reason
00199e40098211ebbdb0ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
003f41f80bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
004430780bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0069c0220bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
008c393e088411ebbd6dac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
009177c60bdd11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
00a6129c085611ebbd59ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
00be0ca20bdb11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
00d22fc208a511ebbd7dac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
00dd3bd608ac11ebbd82ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
00f34c7e088311ebbd6dac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
00f948500bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0105676c0bdd11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0105fd120bb011ebab90acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
012077f40bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
01293a720bdb11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0163c021087511ebbd67ac1f6bf848b6,2wikimultihop,3,4,True,True,3,True,True,False,deep_hops_not_shallow
016e5d36096011ebbdafac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
01758bfb087c11ebbd69ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0176afc7089511ebbd75ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
019842fc089111ebbd72ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0198a00a0bdc11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
019bed300bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
01a24f1408bd11ebbd89ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
01b7e8280bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
01c988da08b911ebbd88ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
01c9f7960bdb11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
01d02f0a0bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
01de6863085b11ebbd5cac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
01e265d20bdc11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
02102208088011ebbd6cac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
022a3dd40bdd11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
02323884085611ebbd59ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0234f1ec0bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
02428f7e0bb011ebab90acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
025e0636088c11ebbd6fac1f6bf848b6,2wikimultihop,1,2,False,False,,,False,False,no_frozen_plan_snapshot
0277d67808c411ebbd8eac1f6bf848b6,2wikimultihop,-1,0,False,False,,,False,False,no_frozen_plan_snapshot
0277d67a08c411ebbd8eac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0290cd840baf11ebab90acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0296498208f611ebbdaaac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
02acaafe084e11ebbd56ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
02ae4663095611ebbdaeac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
02b62fce087211ebbd64ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
02be5a57088011ebbd6cac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
02e138da0bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
02f574780baf11ebab90acde48001122,2wikimultihop,1,2,False,False,,,False,False,no_frozen_plan_snapshot
0304b53c085d11ebbd5cac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0306ad3308fe11ebbdadac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0359c18a0bdc11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
037da85d08c611ebbd90ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0388710c095811ebbdaeac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
038fb14a0bb011ebab90acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
03c63bd8085011ebbd56ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
03d651ba0bdb11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
03d7dadb087f11ebbd6bac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
03e822b00bda11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0404d0e40bdb11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
04059478085911ebbd5bac1f6bf848b6,2wikimultihop,-1,0,False,False,,,False,False,no_frozen_plan_snapshot
040e79da08b311ebbd85ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0429e4da0bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
042bf0e00bde11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
042bf49e0bdb11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
044a6058086d11ebbd61ac1f6bf848b6,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
0458640a0bdd11eba7f7acde48001122,2wikimultihop,0,1,False,False,,,False,False,no_frozen_plan_snapshot
