dataset,question_id,plan_hash,n_slots,n_edges,n_operator_edges,structural_hops,structural_nodes,topology,eligible,error
hotpotqa,5ae10c26554299422ee995e2,02f061161addc307,1,0,0,0,1,single,False,
hotpotqa,5a7a1fc55542990783324e6e,9a0495b74600b9a3,1,0,0,0,1,single,False,
hotpotqa,5a77bb655542992a6e59dfa4,f3f08543acc92c65,1,0,0,0,1,single,False,
hotpotqa,5addeb555542997dc79070ad,b1d112588e60ba97,1,0,0,0,1,single,False,
hotpotqa,5ab576e6554299488d4d9998,b52d15028fde28ca,1,0,0,0,1,single,False,
hotpotqa,5ac07cfb5542996f0d89cbf8,a975af3122c2ff81,2,1,0,1,2,chain,False,
hotpotqa,5ae766df5542997ec272762d,bcf577ee44f4eefe,1,0,0,0,1,single,False,
hotpotqa,5adea7dc55429975fa854f4f,60dbce738522ead7,2,1,0,1,2,chain,False,
hotpotqa,5a7277645542997f827839e8,9ca1deaeea2ead2a,1,0,0,0,1,single,False,
hotpotqa,5abbf71b55429931dba145e3,8acdb0c50d79949e,1,0,0,0,1,single,False,
hotpotqa,5a749e5055429979e28829c5,adf3a8cad32f9c0f,1,0,0,0,1,single,False,
hotpotqa,5ae1b3055542997283cd2246,2b796ff3b225c888,1,0,0,0,1,single,False,
hotpotqa,5added4e5542997dc79070b8,53b4780c4f5b8008,1,0,0,0,1,single,False,
hotpotqa,5a7267db5542997f827839b0,c9023971e0a5c230,2,1,0,1,2,chain,False,
hotpotqa,5a7ffdb555429969796c1b90,a0e38b281dc91033,1,0,0,0,1,single,False,
hotpotqa,5ab204fb5542993be8fa98af,c48d2f785ef2c21b,1,0,0,0,1,single,False,
hotpotqa,5a790d0655429974737f7953,00e670f1d1f3115b,1,0,0,0,1,single,False,
hotpotqa,5a77c1b65542997042120b1d,868d59014b7145d8,4,6,0,3,4,complex,True,
hotpotqa,5ac516005542996feb3fe9f4,ff721a37885e5ad6,1,0,0,0,1,single,False,
hotpotqa,5ac4ea9055429919431739f9,71fc5e5942633318,1,0,0,0,1,single,False,
hotpotqa,5ab9506755429970cfb8ea4a,6d96c31c9fbd9222,1,0,0,0,1,single,False,
hotpotqa,5aba0eaf55429955dce3edbd,ce20d3ceebdeecdd,1,0,0,0,1,single,False,
hotpotqa,5a7da8625542990b8f503a0a,5b2d007c39bcae44,1,0,0,0,1,single,False,
hotpotqa,5a8c4c57554299653c1aa02c,78fc8c0dc133d11a,1,0,0,0,1,single,False,
hotpotqa,5a81f9d955429926c1cdadcd,a91df3ee4c162cbf,1,0,0,0,1,single,False,
hotpotqa,5addb28d5542995b365fab63,4c9695223e8c1056,2,1,0,1,2,chain,False,
hotpotqa,5a71533a5542994082a3e7d7,6739371fe71a5271,1,0,0,0,1,single,False,
hotpotqa,5ae4916055429970de88d9b3,0404b711c2b4b75c,2,1,0,1,2,chain,False,hotpotqa,5a77b3275542995d8318126e,,0,0,0,-1,0,compile_failed,False,request failed for http://10.200.37.71:8801/v1/chat/completions: ReadTimeout
hotpotqa,5ac3d76e554299076e296cac,0c66751808a67ac3,1,0,0,0,1,single,False,
hotpotqa,5a8b39a755429971feec4675,27a948fb43683fb1,1,0,0,0,1,single,False,
hotpotqa,5ae5383f55429908b6326582,422bc9651937c8fd,1,0,0,0,1,single,False,
hotpotqa,5ae203955542997f29b3c1ff,97e81be8607f6eb4,1,0,0,0,1,single,False,
hotpotqa,5ae1d2615542997f29b3c13a,de447949d9052884,1,0,0,0,1,single,False,
hotpotqa,5abec25e5542997ec76fd35b,b1ff6de0797453e3,1,0,0,0,1,single,False,
hotpotqa,5abecea05542994516f4543c,37a07bbc94ce13ee,1,0,0,0,1,single,False,
hotpotqa,5ab9125a5542991b5579f0dd,3025fe520ba0ad02,4,4,0,3,4,complex,True,
hotpotqa,5adc0e8c55429947ff1738eb,9af6a1ebd7f8bb74,2,1,0,1,2,chain,False,
hotpotqa,5ae060ab5542993d6555eb1c,fa1049e70f1d525e,2,1,0,1,2,chain,False,
hotpotqa,5ae641b555429908198fa553,9d8ba53473b85b0a,1,0,0,0,1,single,False,
hotpotqa,5ae7de0e5542993210983fa6,81eaecc944c566c4,2,1,0,1,2,chain,False,
hotpotqa,5ab961aa554299743d22eb2a,f8e0d757bcdfdfff,1,0,0,0,1,single,False,
hotpotqa,5ae7f8615542993210983fe3,7dc05a2e34b4b9d2,1,0,0,0,1,single,False,
hotpotqa,5a7b1d2c554299042af8f6dc,67e97c998b0e8097,1,0,0,0,1,single,False,
hotpotqa,5adc74fd55429947ff173974,4a73e8e5cb20d3fa,1,0,0,0,1,single,False,
hotpotqa,5ae2288e554299234fd04407,,0,0,0,-1,0,compile_failed,False,request failed for http://10.200.37.71:8801/v1/chat/completions: ReadTimeout
hotpotqa,5ae268b75542996483e6499e,8adadbaa5f80dfe7,2,1,0,1,2,chain,False,
hotpotqa,5a7faa455542994857a767ac,3586592c46b59e63,1,0,0,0,1,single,False,
hotpotqa,5ae5633c55429960a22e02dd,3d7a743c68c3f4f2,1,0,0,0,1,single,False,
hotpotqa,5a78cac955429974737f7893,3ab77fee7fc83101,2,1,0,1,2,chain,False,
hotpotqa,5a83c23e5542996488c2e4b8,61f73caa60fc3c4e,1,0,0,0,1,single,False,
hotpotqa,5ae39e215542991a06ce99fe,41a1f8a10a3ab5b5,4,3,0,3,4,chain,True,
hotpotqa,5a89f99055429946c8d6ea2b,9c0c3bcee647d106,1,0,0,0,1,single,False,
hotpotqa,5ac41bf15542995c82c4acc5,ce4bd134aa5a5b26,1,0,0,0,1,single,False,
